run_number,start_time,stop_time,elapsed_sec
00329,Fri Jul 19 11:30:49 2024,Fri Jul 19 11:43:57 2024,788
00330,Fri Jul 19 11:46:07 2024,Fri Jul 19 11:51:30 2024,323
00331,Fri Jul 19 11:53:36 2024,Fri Jul 19 12:27:46 2024,2050
00332,Fri Jul 19 12:33:46 2024,Fri Jul 19 12:36:32 2024,166
00333,Fri Jul 19 12:36:46 2024,Fri Jul 19 12:47:03 2024,617
00334,Fri Jul 19 12:49:16 2024,Fri Jul 19 12:56:49 2024,453
00335,Fri Jul 19 12:58:43 2024,Fri Jul 19 13:11:47 2024,784
00336,Fri Jul 19 13:13:43 2024,Fri Jul 19 13:21:35 2024,472
00337,Fri Jul 19 13:25:12 2024,Fri Jul 19 13:35:28 2024,616
00338,Fri Jul 19 13:47:20 2024,Fri Jul 19 13:51:12 2024,232
00339,Fri Jul 19 13:51:43 2024,Fri Jul 19 13:53:58 2024,135
00340,Fri Jul 19 13:55:17 2024,Fri Jul 19 14:08:34 2024,797
00341,Fri Jul 19 14:12:07 2024,Fri Jul 19 14:29:18 2024,1031
00342,Fri Jul 19 14:33:03 2024,Fri Jul 19 14:43:26 2024,623
00343,Fri Jul 19 14:45:08 2024,Fri Jul 19 14:55:39 2024,631
00344,Fri Jul 19 15:02:26 2024,Fri Jul 19 15:06:32 2024,246
00345,Fri Jul 19 15:08:52 2024,Fri Jul 19 15:18:59 2024,607
00346,Fri Jul 19 15:21:05 2024,Fri Jul 19 15:21:22 2024,17
00347,Fri Jul 19 15:23:27 2024,Fri Jul 19 15:31:42 2024,495
00348,Fri Jul 19 15:42:56 2024,Fri Jul 19 15:49:01 2024,365
00349,Fri Jul 19 15:51:04 2024,Fri Jul 19 15:55:07 2024,243
00350,Fri Jul 19 15:55:37 2024,Fri Jul 19 16:08:21 2024,764
00351,Fri Jul 19 16:09:46 2024,Fri Jul 19 16:11:04 2024,78
00352,Fri Jul 19 16:12:05 2024,Fri Jul 19 16:25:10 2024,785
00353,Fri Jul 19 16:32:12 2024,Fri Jul 19 16:32:59 2024,47
00354,Fri Jul 19 16:33:17 2024,Fri Jul 19 16:40:00 2024,403
00355,Fri Jul 19 16:41:23 2024,Fri Jul 19 16:57:31 2024,968
00356,Fri Jul 19 17:08:10 2024,Fri Jul 19 17:11:29 2024,199
00357,Fri Jul 19 17:13:30 2024,Fri Jul 19 17:16:59 2024,209
00358,Fri Jul 19 17:18:38 2024,Fri Jul 19 17:20:12 2024,94
00359,Fri Jul 19 17:21:16 2024,Fri Jul 19 17:22:25 2024,69
00360,Fri Jul 19 17:23:54 2024,Fri Jul 19 17:29:46 2024,352
00361,Fri Jul 19 17:38:19 2024,Fri Jul 19 17:49:06 2024,647
00362,Fri Jul 19 17:52:07 2024,Fri Jul 19 17:58:05 2024,358
00363,Mon Jul 22 11:07:23 2024,Mon Jul 22 11:07:39 2024,16
00364,Mon Jul 22 11:08:19 2024,Mon Jul 22 11:13:45 2024,326
00365,Mon Jul 22 11:16:05 2024,Mon Jul 22 11:20:55 2024,290
00366,Mon Jul 22 11:23:04 2024,Mon Jul 22 11:34:07 2024,663
00367,Mon Jul 22 11:36:56 2024,Mon Jul 22 11:44:34 2024,458
00368,Mon Jul 22 11:50:14 2024,Mon Jul 22 12:02:02 2024,708
00369,Mon Jul 22 12:07:43 2024,Mon Jul 22 12:09:09 2024,86
00370,Mon Jul 22 12:11:25 2024,Mon Jul 22 12:12:13 2024,48
00371,Mon Jul 22 12:13:01 2024,Mon Jul 22 12:14:30 2024,89
00372,Mon Jul 22 12:19:20 2024,Mon Jul 22 12:20:52 2024,92
00373,Mon Jul 22 12:23:06 2024,Mon Jul 22 12:26:27 2024,201
00374,Mon Jul 22 12:28:22 2024,Mon Jul 22 12:38:01 2024,579
00375,Mon Jul 22 12:39:47 2024,Mon Jul 22 12:42:32 2024,165
00376,Mon Jul 22 12:43:14 2024,Mon Jul 22 12:54:13 2024,659
00377,Mon Jul 22 13:08:09 2024,Mon Jul 22 13:08:23 2024,14
00378,Mon Jul 22 13:08:36 2024,Mon Jul 22 13:10:42 2024,126
00379,Mon Jul 22 13:11:44 2024,Mon Jul 22 13:14:36 2024,172
00380,Mon Jul 22 13:17:04 2024,Mon Jul 22 13:19:02 2024,118
00381,Mon Jul 22 13:19:50 2024,Mon Jul 22 13:21:54 2024,124
00382,Mon Jul 22 13:38:28 2024,Mon Jul 22 13:40:27 2024,119
00383,Mon Jul 22 13:49:41 2024,Mon Jul 22 14:00:44 2024,663
00384,Mon Jul 22 14:01:32 2024,Mon Jul 22 14:02:19 2024,47
00385,Mon Jul 22 14:03:48 2024,Mon Jul 22 14:11:57 2024,489
00386,Mon Jul 22 14:13:26 2024,Mon Jul 22 14:28:08 2024,882
00387,Mon Jul 22 14:32:19 2024,Mon Jul 22 14:39:32 2024,433
00388,Mon Jul 22 14:40:50 2024,Mon Jul 22 14:45:52 2024,302
00389,Mon Jul 22 14:48:29 2024,Mon Jul 22 14:49:42 2024,73
00390,Mon Jul 22 14:51:52 2024,Mon Jul 22 14:56:27 2024,275
00391,Mon Jul 22 14:58:47 2024,Mon Jul 22 15:11:36 2024,769
00392,Mon Jul 22 15:13:33 2024,Mon Jul 22 15:15:52 2024,139
00393,Mon Jul 22 15:18:05 2024,Mon Jul 22 15:18:57 2024,52
00394,Mon Jul 22 15:19:50 2024,Mon Jul 22 15:32:49 2024,779
00395,Mon Jul 22 15:35:42 2024,Mon Jul 22 15:36:05 2024,23
00396,Mon Jul 22 15:36:33 2024,Mon Jul 22 15:43:45 2024,432
00397,Mon Jul 22 15:45:07 2024,Mon Jul 22 15:45:21 2024,14
00398,Mon Jul 22 15:46:50 2024,Mon Jul 22 15:55:50 2024,540
00399,Mon Jul 22 15:58:01 2024,Mon Jul 22 16:03:39 2024,338
00400,Mon Jul 22 16:13:41 2024,Mon Jul 22 16:18:04 2024,263
00401,Mon Jul 22 16:19:59 2024,Mon Jul 22 16:22:30 2024,151
00402,Mon Jul 22 16:32:20 2024,Mon Jul 22 16:36:03 2024,223
00403,Mon Jul 22 16:42:43 2024,Mon Jul 22 16:47:50 2024,307
00404,Mon Jul 22 16:50:29 2024,Mon Jul 22 17:08:19 2024,1070
00405,Mon Jul 22 17:12:45 2024,Mon Jul 22 17:15:04 2024,139
00406,Mon Jul 22 17:15:10 2024,Mon Jul 22 17:24:51 2024,581
00407,Mon Jul 22 17:25:16 2024,Mon Jul 22 17:26:37 2024,81
00408,Mon Jul 22 17:26:53 2024,Mon Jul 22 17:36:38 2024,585
00409,Mon Jul 22 17:37:22 2024,Mon Jul 22 17:38:09 2024,47
00410,Mon Jul 22 17:41:08 2024,Mon Jul 22 17:44:15 2024,187
00411,Mon Jul 22 17:49:37 2024,Mon Jul 22 18:02:40 2024,783
00412,Tue Jul 23 10:06:07 2024,Tue Jul 23 10:35:13 2024,1746
00413,Tue Jul 23 10:36:50 2024,Tue Jul 23 10:59:51 2024,1381
00414,Tue Jul 23 11:02:48 2024,Tue Jul 23 11:04:30 2024,102
