run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 23037747439, 2791140, 0, 4567, 5260, 28013, 0, 40679
507, 23037878061, 2791367, 0, 4567, 5261, 28014, 0, 40679
507, 23037980584, 2791519, 0, 4568, 5262, 28016, 0, 40679
507, 23038041389, 2791644, 0, 4568, 5263, 28019, 0, 40679
507, 23038102484, 2791765, 0, 4568, 5264, 28021, 0, 40679
507, 23042716989, 2791998, 0, 4569, 5265, 28022, 0, 40679
507, 23042990672, 2792438, 0, 4569, 5266, 28024, 0, 40679
507, 23043073793, 2792616, 0, 4569, 5267, 28025, 0, 40679
507, 23047627951, 2792707, 0, 4569, 5268, 28027, 0, 40679
507, 23047694900, 2792856, 0, 4569, 5269, 28031, 0, 40679
507, 23047844484, 2793135, 0, 4569, 5270, 28032, 0, 40679
507, 23047916375, 2793238, 0, 4569, 5271, 28033, 0, 40679
507, 23047974874, 2793316, 0, 4570, 5272, 28034, 0, 40679
507, 23048037533, 2793442, 0, 4570, 5273, 28037, 0, 40679
507, 23052635892, 2793620, 0, 4570, 5274, 28043, 0, 40679
507, 23052749786, 2793868, 0, 4570, 5275, 28044, 0, 40679
507, 23052803018, 2793968, 0, 4570, 5276, 28045, 0, 40679
507, 23052920562, 2794137, 0, 4570, 5277, 28046, 0, 40679
507, 23053068897, 2794421, 0, 4570, 5278, 28049, 0, 40679
507, 23057655753, 2794602, 0, 4570, 5279, 28050, 0, 40679
507, 23057755971, 2794811, 0, 4571, 5280, 28053, 0, 40679
507, 23057826532, 2794920, 0, 4571, 5281, 28054, 0, 40679
507, 23057974862, 2795144, 0, 4571, 5282, 28057, 0, 40679
507, 23058049161, 2795292, 0, 4572, 5283, 28058, 0, 40679
507, 23062642060, 2795471, 0, 4572, 5284, 28060, 0, 40679
507, 23062693707, 2795591, 0, 4572, 5285, 28062, 0, 40679
507, 23062782018, 2795781, 0, 4572, 5286, 28064, 0, 40679
507, 23067666545, 2796431, 0, 4572, 5287, 28065, 0, 40679
507, 23067783137, 2796676, 0, 4574, 5288, 28066, 0, 40679
507, 23067865730, 2796793, 0, 4574, 5289, 28070, 0, 40679
507, 23067945200, 2796892, 0, 4574, 5290, 28071, 0, 40679
507, 23068015711, 2797012, 0, 4574, 5291, 28072, 0, 40679
507, 23068088046, 2797153, 0, 4574, 5292, 28074, 0, 40679
507, 23072636778, 2797251, 0, 4575, 5293, 28076, 0, 40679
507, 23072691119, 2797378, 0, 4575, 5294, 28077, 0, 40679
507, 23072789286, 2797572, 0, 4575, 5295, 28078, 0, 40679
507, 23072843305, 2797665, 0, 4575, 5296, 28081, 0, 40679
507, 23073023822, 2797953, 0, 4575, 5297, 28083, 0, 40679
507, 23073109491, 2798122, 0, 4575, 5298, 28086, 0, 40679
507, 23077762895, 2798431, 0, 4575, 5299, 28087, 0, 40679
507, 23078007629, 2798842, 0, 4575, 5300, 28090, 0, 40679
507, 23078059915, 2798947, 0, 4575, 5301, 28091, 0, 40679
507, 23082650932, 2799121, 0, 4575, 5302, 28093, 0, 40679
507, 23082708343, 2799239, 0, 4575, 5303, 28095, 0, 40679
507, 23082875509, 2799561, 0, 4576, 5304, 28097, 0, 40679
507, 23082939492, 2799640, 0, 4576, 5305, 28098, 0, 40679
507, 23083062488, 2799883, 0, 4577, 5306, 28100, 0, 40679
507, 23087618682, 2799980, 0, 4577, 5307, 28105, 0, 40679
507, 23087819315, 2800414, 0, 4577, 5308, 28108, 0, 40679
507, 23087868582, 2800492, 0, 4577, 5309, 28109, 0, 40679
507, 23088046037, 2800780, 0, 4578, 5310, 28110, 0, 40679
507, 23092703107, 2801103, 0, 4579, 5311, 28113, 0, 40679
507, 23092840411, 2801386, 0, 4580, 5312, 28115, 0, 40679
507, 23093010338, 2801621, 0, 4582, 5313, 28117, 0, 40679
507, 23097653509, 2801873, 0, 4583, 5314, 28119, 0, 40679
507, 23097740100, 2802048, 0, 4583, 5315, 28122, 0, 40679
507, 23097869818, 2802268, 0, 4583, 5316, 28124, 0, 40679
507, 23098058037, 2802565, 0, 4583, 5317, 28126, 0, 40679
507, 23102629673, 2802694, 0, 4584, 5318, 28129, 0, 40679
507, 23102770142, 2803001, 0, 4584, 5319, 28131, 0, 40679
507, 23102883835, 2803192, 0, 4584, 5320, 28132, 0, 40679
507, 23102943818, 2803273, 0, 4584, 5321, 28133, 0, 40679
507, 23103050532, 2803468, 0, 4585, 5322, 28136, 0, 40679
507, 23107621464, 2803599, 0, 4586, 5323, 28140, 0, 40679
507, 23107704675, 2803766, 0, 4587, 5324, 28142, 0, 40679
507, 23107852040, 2804047, 0, 4587, 5325, 28143, 0, 40679
507, 23108004584, 2804270, 0, 4587, 5326, 28144, 0, 40679
507, 23112651946, 2804577, 0, 4590, 5327, 28149, 0, 40679
507, 23112737943, 2804751, 0, 4590, 5328, 28152, 0, 40679
507, 23112799418, 2804870, 0, 4590, 5329, 28153, 0, 40679
507, 23112891057, 2805050, 0, 4590, 5330, 28154, 0, 40679
507, 23117623652, 2805406, 0, 4590, 5331, 28155, 0, 40680
507, 23117710163, 2805582, 0, 4592, 5332, 28158, 0, 40680
507, 23117756714, 2805667, 0, 4592, 5333, 28160, 0, 40680
507, 23117870374, 2805849, 0, 4592, 5334, 28162, 0, 40680
507, 23117965890, 2805989, 0, 4592, 5335, 28165, 0, 40680
507, 23118024891, 2806107, 0, 4592, 5336, 28167, 0, 40680
507, 23122646625, 2806338, 0, 4592, 5337, 28168, 0, 40680
