run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
327,486.240033,3258342,6701.09777,20,0.04113195,1677,3.44891388,9093,18.7006404,10292,21.1665007,0,0,486,0.99950635,0.8835017489
328,749.781387,5007235,6678.25994,36,0.048014,2498,3.33163779,13776,18.3733555,15635,20.8527449,0,0,750,1.00029157,0.8811000959
329,778.174652,5045970,6484.36696,30,0.03855176,2553,3.28075451,14210,18.2606822,15950,20.4966841,0,0,778,0.99977556,0.8909090909
330,310.527906,2027574,6529.44216,10,0.03220322,1026,3.30405088,5554,17.8856711,6238,20.0883717,0,0,311,1.0015203,0.890349471
331,2032.29775,13095830,6443.854,52,0.0255868,6404,3.15111307,36197,17.8108744,40652,20.0029745,0,0,2033,1.00034554,0.8904112959
332,155.496079,930944,5986.92908,4,0.02572412,455,2.92611879,2700,17.3637818,3004,19.3188151,0,0,156,1.00324073,0.8988015979
333,600.037803,3633554,6055.54181,30,0.04999685,1757,2.92814885,9989,16.6472845,11099,18.4971679,0,0,600,0.999937,0.8999909902
334,440.659694,2771411,6289.23189,18,0.04084785,1375,3.12032169,7620,17.2922555,8505,19.300608,0,0,441,1.00077227,0.8959435626
335,766.83137,4849319,6323.84014,32,0.04173017,2261,2.94849701,13164,17.1667468,14718,19.193268,0,0,767,1.0002199,0.894415002
336,455.33848,2859193,6279.26943,22,0.04831571,1432,3.14491321,7699,16.9083008,8637,18.9683068,0,0,455,0.99925664,0.891397476
337,599.588464,3834551,6395.30483,18,0.03002059,1913,3.19052169,10302,17.1817849,11433,19.0680787,0,0,600,1.00068636,0.9010758331
338,214.998923,1344749,6254.67785,8,0.03720949,647,3.00931741,3674,17.0884577,4112,19.1256772,0,0,215,1.00000501,0.8934824903
339,114.448133,748212,6537.56403,6,0.05242549,366,3.19795517,1973,17.2392501,2215,19.3537451,0,0,114,0.9960844,0.890744921
340,779.331359,4894946,6280.95603,22,0.02822933,2477,3.17836562,13463,17.2750651,15149,19.4384581,0,0,779,0.99957482,0.8887055251
341,1010.12743,6335843,6272.3205,32,0.03167917,3203,3.17088705,17442,17.2671283,19548,19.3520138,0,0,1010,0.99987384,0.8922651934
