Run		LEBT Current [nA]		LEBT Intensity [pps]		[enA]	Brho [Tm]				Beam Dump		F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]			
No.	Attenuator	Peak	Average	Peak	Average	Collimator	D1	D2	F2F3	d/R	L	R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD
114	-2	401	40	3.10E+11	3.10E+10	511.65	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
115	-2	390	39	3.10E+11	3.10E+10	517.94	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
116	-2	390	39	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
117	-2	393	39	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
118	-2	390	39	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
119	-2	390	38	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
120	-2	390	38	3.10E+11	3.10E+10																											
121	-2	390	38	3.10E+11	3.10E+10	510.25	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
122	-2	390	38	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
123	-2	390	38	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
124	-2	390	38	3.10E+11	3.10E+10	498	1.304	1.2771	1.2681	0.066	210	210	84	80	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
125	-2	390	39	3.10E+11	3.10E+10		1.304	1.2771	1.2681	0.066	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
126	-2	386	38	3.00E+11	3.00E+10		1.3562	1.3318	1.3238	0.058	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
127	-2	385	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
128	-2	388	38	3.00E+11	3.00E+10	510.1	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
129	-2	388	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	6>10	2>6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
130	-2	378	38	3.00E+11	3.00E+10	492.3	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
131	-2	388	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
132	-2	386	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
133	-2	389	39	3.00E+11	3.00E+10	521.88	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
134	-2	396	39	3.10E+11	3.10E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
135	-2	383	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
136	-2	382.6	39.03	3.10E+11	3.00E+10	519.2	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
137	-2	398.6	38.75	3.10E+11	3.10E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
138	-2	-																														
139	-2	-																														
140	-2	-																														
141	-2	-	-	-	-		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
142	-2	-	-	-	-																											
143	-2	380.41	38	3.10E+11	3.10E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
144	-2	392	39	3.00E+11	3.10E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
145	-2	373	37	2.90E+11	2.90E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
146	-2	-	-	-	-																											
147	-2	381	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
148	-2	388	38	3.00E+11	3.00E+10	507.69	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
149	-2	395	39	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
